,Name,Price,Sold_out,Location
0,มันหนึบ มันหนึบญี่ปุ่น มันหนึบญี่ปุ่นเบนฮารุกะ โอกินาว่า มันหนึบญี่ปุ่นแท้ ขนาด 200กรัม และ 500 กรัม,32.0,28000.0,จังหวัดกรุงเทพมหานคร
1,ขนมเปี๊ยะไข่เค็มลาวา พร้อมส่งทุกวัน (อบเช้าส่งบ่าย 1 วันถึง) มีเก็บปลายทาง📦ส่งKerry,25.0,9000.0,จังหวัดกรุงเทพมหานคร
2,ช็อคโก้บอลลาวา ช็อคโกแลตสอดไส้นม เข้มข้นลงตัวฝุดๆ ขนมของคนดัง ✔️300g爆浆曲奇小圆子,69.0,11000.0,จังหวัดกรุงเทพมหานคร
3,A001มาม่าเผ็ด MAMEE Ghost Pepper มาม่าเผ็ดที่สุดในโลก มาม่ามาเลเซีย  สีดำHS X 1 nims,37.0,1095000.0,จังหวัดกรุงเทพมหานคร
4,ผักและผลไม้อบกรอบ 10 ชนิด ผักอบกรอบ 250 กรัม,36.0,43000.0,จังหวัดกรุงเทพมหานคร
5,ขนมเบเกอร์รี่บอล ยูโร่ 30 ซอง 75 กรัม สอดไส้รวมรส,28.0,334.0,จังหวัดกรุงเทพมหานคร
6,Lot ล่าสุด11/ 2022 Nims crispy Choco tub  นำเข้ามาเลเซีย ขนมเคลือบชอคโกแลต ขนมทานเล่น ชอคโก้คริสปี้,85.0,66000.0,จังหวัดสงขลา
7,[250กรัม] กาละแมพัทลุง ของฝากพัทลุง ขนมไทยโบราณ กาละแมกะทิสด กาละแมรสใบเตย กาละแมรสทุเรียน กาละแมรสดั้งเดิม ข้าวเหนียวดำ,45.0,350.0,จังหวัดกรุงเทพมหานคร
8,Imperial บัตเตอร์คุกกี้ สูตรเดนมาร์ก 100 กรัม (ขนมของขวัญ),29.0,32000.0,จังหวัดสมุทรปราการ
9,ขนมมินิมาการอง 650 ชิ้น มินิมาการอง ขนมมาการอง (ราคาส่ง),1300.0,200.0,จังหวัดกรุงเทพมหานคร
10,ตังเมกรอบ ขนมตังเมไม้ ขนมโบราณหายาก 20 ชิ้น พร้อมส่ง,25.0,21000.0,จังหวัดกรุงเทพมหานคร
11,D9หิมะคุ้กกี้ ห่อใหญ่ พร้อมส่ง（旺旺雪饼大包) ข้าวพองอบกรอบ ขนมทานเล่น ว่างๆเฮงๆ ขนมว่าง ว่างๆกินทุกวัน เฮงๆมาทุกวัน 旺旺 零食,47.0,163.0,จังหวัดกรุงเทพมหานคร
12,🚨 1 ชิ้น Nextar บราวนี่นำเข้าสุดเข้มข้น บราวนี่ คุกกี้บราวนี่ ช็อกโกแลต คุกกี้ บราวนี่ช็อก ขนมมาเลเซีย ขนมราคาส่ง ขนม,5.0,303.0,จังหวัดกรุงเทพมหานคร
13,ขนมลา ขนมลาแผ่นนิ่ม ขนมพื้นบ้านนครศรีธรรมราช ของดีภาคใต้ ทำสดใหม่ทุกวัน มีบริการเก็บเงินปลายทาง,37.0,173.0,จังหวัดนครศรีธรรมราช
14,🔥 พร้อมส่ง🔥 คุ้กกี้พระราชวัง (หลอด) white castle จากมาเล เวเฟอร์พระราชวัง ขนมโอโจ้,32.0,4000.0,จังหวัดสงขลา
